libgcj-java-placeholder.sh

This script is a placeholder for the /usr/bin/java
master link required by jpackage.org conventions.  libgcj's
rmiregistry, rmic and jar tools are now slave symlinks to these
masters, and are managed by the alternatives(8) system.

This change was necessary because the rmiregistry, rmic and jar tools
installed by previous versions of libgcj conflicted with symlinks
installed by jpackage.org JVM packages.
#NT 4797
#AV 30.021581025334303
#OVR 0.0
0.0 0.0927663122785074 0.0927663122785074 0.0 0.0
3.0 0.08067542213883677 0.17344173441734417 1161.0 1161.0
6.0 0.08276005836981447 0.25620179278715866 2382.0 3543.0
9.0 0.07066916823014384 0.3268709610173025 3051.0 6594.0
12.0 0.05565978736710444 0.3825307483844069 3204.0 9798.0
15.0 0.054825932874713365 0.4373566812591203 3945.0 13743.0
18.0 0.0552428601209089 0.4925995413800292 4770.0 18513.0
21.0 0.053992078382322284 0.5465916197623515 5439.0 23952.0
24.0 0.04440275171982489 0.5909943714821764 5112.0 29064.0
27.0 0.03523035230352303 0.6262247237856994 4563.0 33627.0
30.0 0.037940379403794036 0.6641651031894934 5460.0 39087.0
33.0 0.03043568897227434 0.6946007921617677 4818.0 43905.0
36.0 0.027934125495101107 0.7225349176568688 4824.0 48729.0
39.0 0.030852616218469877 0.7533875338753387 5772.0 54501.0
42.0 0.02584948926412341 0.7792370231394622 5208.0 59709.0
45.0 0.01959558057119033 0.7988326037106526 4230.0 63939.0
48.0 0.017719407963310403 0.816552011673963 4080.0 68019.0
51.0 0.017927871586408173 0.8344798832603711 4386.0 72405.0
54.0 0.01855326245570148 0.8530331457160726 4806.0 77211.0
57.0 0.01521784448613717 0.8682509902022097 4161.0 81372.0
60.0 0.014800917239941631 0.8830519074421513 4260.0 85632.0
63.0 0.010631644777986242 0.8936835522201376 3213.0 88845.0
66.0 0.009589326662497394 0.903272878882635 3036.0 91881.0
69.0 0.008547008547008548 0.9118198874296435 2829.0 94710.0
72.0 0.008130081300813009 0.9199499687304565 2808.0 97518.0
75.0 0.006670835939128622 0.9266208046695852 2400.0 99918.0
78.0 0.005420054200542005 0.9320408588701272 2028.0 101946.0
81.0 0.0068792995622263915 0.9389201584323537 2673.0 104619.0
84.0 0.005420054200542005 0.9443402126328957 2184.0 106803.0
87.0 0.006253908692933083 0.9505941213258288 2610.0 109413.0
90.0 0.005836981446737544 0.9564311027725663 2520.0 111933.0
93.0 0.0031269543464665416 0.9595580571190329 1395.0 113328.0
96.0 0.004586199708150928 0.9641442568271837 2112.0 115440.0
99.0 0.003335417969564311 0.967479674796748 1584.0 117024.0
102.0 0.0031269543464665416 0.9706066291432146 1530.0 118554.0
105.0 0.0035438815926620805 0.9741505107358767 1785.0 120339.0
108.0 0.0031269543464665416 0.9772774650823433 1620.0 121959.0
111.0 0.003960808838857619 0.9812382739212009 2109.0 124068.0
114.0 0.0025015634771732333 0.9837398373983741 1368.0 125436.0
117.0 0.0012507817385866166 0.9849906191369607 702.0 126138.0
120.0 0.001459245361684386 0.9864498644986451 840.0 126978.0
123.0 0.0012507817385866166 0.9877006462372317 738.0 127716.0
126.0 0.001876172607879925 0.9895768188451117 1134.0 128850.0
129.0 6.253908692933083E-4 0.9902022097144051 387.0 129237.0
132.0 6.253908692933083E-4 0.9908276005836985 396.0 129633.0
135.0 0.0010423181154888472 0.9918699186991873 675.0 130308.0
138.0 0.001459245361684386 0.9933291640608717 966.0 131274.0
141.0 8.338544923910778E-4 0.9941630185532627 564.0 131838.0
144.0 0.0 0.9941630185532627 0.0 131838.0
147.0 0.0012507817385866166 0.9954138002918493 882.0 132720.0
150.0 2.0846362309776944E-4 0.9956222639149471 150.0 132870.0
153.0 2.0846362309776944E-4 0.9958307275380449 153.0 133023.0
156.0 0.0 0.9958307275380449 0.0 133023.0
159.0 2.0846362309776944E-4 0.9960391911611427 159.0 133182.0
162.0 6.253908692933083E-4 0.9966645820304361 486.0 133668.0
165.0 6.253908692933083E-4 0.9972899728997294 495.0 134163.0
168.0 2.0846362309776944E-4 0.9974984365228272 168.0 134331.0
171.0 0.0 0.9974984365228272 0.0 134331.0
174.0 0.0 0.9974984365228272 0.0 134331.0
177.0 0.0 0.9974984365228272 0.0 134331.0
180.0 2.0846362309776944E-4 0.997706900145925 180.0 134511.0
183.0 2.0846362309776944E-4 0.9979153637690228 183.0 134694.0
186.0 2.0846362309776944E-4 0.9981238273921206 186.0 134880.0
189.0 0.0 0.9981238273921206 0.0 134880.0
192.0 0.0 0.9981238273921206 0.0 134880.0
195.0 0.0 0.9981238273921206 0.0 134880.0
198.0 0.0 0.9981238273921206 0.0 134880.0
201.0 0.0 0.9981238273921206 0.0 134880.0
204.0 0.0 0.9981238273921206 0.0 134880.0
207.0 2.0846362309776944E-4 0.9983322910152184 207.0 135087.0
210.0 2.0846362309776944E-4 0.9985407546383162 210.0 135297.0
213.0 2.0846362309776944E-4 0.9987492182614139 213.0 135510.0
216.0 4.169272461955389E-4 0.9991661455076095 432.0 135942.0
219.0 0.0 0.9991661455076095 0.0 135942.0
222.0 0.0 0.9991661455076095 0.0 135942.0
225.0 2.0846362309776944E-4 0.9993746091307073 225.0 136167.0
228.0 0.0 0.9993746091307073 0.0 136167.0
231.0 0.0 0.9993746091307073 0.0 136167.0
234.0 0.0 0.9993746091307073 0.0 136167.0
237.0 0.0 0.9993746091307073 0.0 136167.0
240.0 0.0 0.9993746091307073 0.0 136167.0
243.0 2.0846362309776944E-4 0.9995830727538051 243.0 136410.0
246.0 0.0 0.9995830727538051 0.0 136410.0
249.0 0.0 0.9995830727538051 0.0 136410.0
252.0 4.169272461955389E-4 1.0000000000000007 504.0 136914.0
255.0 0.0 1.0000000000000007 0.0 136914.0
258.0 0.0 1.0000000000000007 0.0 136914.0
261.0 0.0 1.0000000000000007 0.0 136914.0
264.0 0.0 1.0000000000000007 0.0 136914.0
267.0 0.0 1.0000000000000007 0.0 136914.0
270.0 0.0 1.0000000000000007 0.0 136914.0
273.0 0.0 1.0000000000000007 0.0 136914.0
276.0 0.0 1.0000000000000007 0.0 136914.0
279.0 0.0 1.0000000000000007 0.0 136914.0
282.0 0.0 1.0000000000000007 0.0 136914.0
285.0 0.0 1.0000000000000007 0.0 136914.0
288.0 0.0 1.0000000000000007 0.0 136914.0
291.0 0.0 1.0000000000000007 0.0 136914.0
294.0 0.0 1.0000000000000007 0.0 136914.0
297.0 0.0 1.0000000000000007 0.0 136914.0
