2007-11-05 T 20:50:08.438 UTCRSS 9  [1] [SDAT] RSS : .simCompleted()():: Run: 0 fpstat=  1 0.21893333333333334 0.21893333333333334 0.21893333333333334 NaN
2007-11-05 T 20:50:54.343 UTCRSS 17  [1] [SDAT] RSS : .simCompleted()():: Run: 1 fpstat=  2 0.32964444444444446 0.21893333333333334 0.44035555555555556 0.15656915483872788
2007-11-05 T 20:51:44.805 UTCRSS 25  [1] [SDAT] RSS : .simCompleted()():: Run: 2 fpstat=  3 0.32349629629629634 0.21893333333333334 0.44035555555555556 0.11122207200197047
2007-11-05 T 20:52:42.401 UTCRSS 33  [1] [SDAT] RSS : .simCompleted()():: Run: 3 fpstat=  4 0.3728777777777778 0.21893333333333334 0.5210222222222223 0.13416788880664138
2007-11-05 T 20:53:44.673 UTCRSS 41  [1] [SDAT] RSS : .simCompleted()():: Run: 4 fpstat=  5 0.3811555555555556 0.21893333333333334 0.5210222222222223 0.11765787187780857
2007-11-05 T 20:54:27.475 UTCRSS 49  [1] [SDAT] RSS : .simCompleted()():: Run: 5 fpstat=  6 0.38224444444444444 0.21893333333333334 0.5210222222222223 0.1052701948603019
2007-11-05 T 20:55:14.581 UTCRSS 57  [1] [SDAT] RSS : .simCompleted()():: Run: 6 fpstat=  7 0.36886349206349206 0.21893333333333334 0.5210222222222223 0.10241188478209345
2007-11-05 T 20:56:04.706 UTCRSS 65  [1] [SDAT] RSS : .simCompleted()():: Run: 7 fpstat=  8 0.3745888888888889 0.21893333333333334 0.5210222222222223 0.0961879516668037
2007-11-05 T 20:56:51.280 UTCRSS 73  [1] [SDAT] RSS : .simCompleted()():: Run: 8 fpstat=  9 0.37976296296296297 0.21893333333333334 0.5210222222222223 0.09130468866843308
2007-11-05 T 20:57:51.217 UTCRSS 81  [1] [SDAT] RSS : .simCompleted()():: Run: 9 fpstat=  10 0.3911955555555556 0.21893333333333334 0.5210222222222223 0.09336650897740724
2007-11-05 T 20:58:42.315 UTCRSS 89  [1] [SDAT] RSS : .simCompleted()():: Run: 10 fpstat=  11 0.40043636363636365 0.21893333333333334 0.5210222222222223 0.09372775668186603
2007-11-05 T 20:59:40.121 UTCRSS 97  [1] [SDAT] RSS : .simCompleted()():: Run: 11 fpstat=  12 0.40941481481481484 0.21893333333333334 0.5210222222222223 0.09462355319925582
2007-11-05 T 21:00:34.867 UTCRSS 105  [1] [SDAT] RSS : .simCompleted()():: Run: 12 fpstat=  13 0.4152102564102564 0.21893333333333334 0.5210222222222223 0.0929737325687655
2007-11-05 T 21:01:34.387 UTCRSS 113  [1] [SDAT] RSS : .simCompleted()():: Run: 13 fpstat=  14 0.4172793650793651 0.21893333333333334 0.5210222222222223 0.08966113973340593
2007-11-05 T 21:02:25.248 UTCRSS 121  [1] [SDAT] RSS : .simCompleted()():: Run: 14 fpstat=  15 0.4105155555555555 0.21893333333333334 0.5210222222222223 0.09028363036462722
2007-11-05 T 21:03:07.554 UTCRSS 129  [1] [SDAT] RSS : .simCompleted()():: Run: 15 fpstat=  16 0.40523888888888887 0.21893333333333334 0.5210222222222223 0.08973971452004932
2007-11-05 T 21:03:38.222 UTCRSS 137  [1] [SDAT] RSS : .simCompleted()():: Run: 16 fpstat=  17 0.3959712418300653 0.21893333333333334 0.5210222222222223 0.09492106264483056
2007-11-05 T 21:04:19.789 UTCRSS 145  [1] [SDAT] RSS : .simCompleted()():: Run: 17 fpstat=  18 0.3910666666666666 0.21893333333333334 0.5210222222222223 0.09440866004121194
2007-11-05 T 21:05:22.900 UTCRSS 153  [1] [SDAT] RSS : .simCompleted()():: Run: 18 fpstat=  19 0.39816374269005844 0.21893333333333334 0.5259111111111111 0.09682370562212186
2007-11-05 T 21:06:10.310 UTCRSS 161  [1] [SDAT] RSS : .simCompleted()():: Run: 19 fpstat=  20 0.39769777777777776 0.21893333333333334 0.5259111111111111 0.0942643110232267
2007-11-05 T 21:07:02.613 UTCRSS 169  [1] [SDAT] RSS : .simCompleted()():: Run: 20 fpstat=  21 0.3952084656084656 0.21893333333333334 0.5259111111111111 0.09258294925444659
2007-11-05 T 21:07:42.876 UTCRSS 177  [1] [SDAT] RSS : .simCompleted()():: Run: 21 fpstat=  22 0.39196565656565663 0.21893333333333334 0.5259111111111111 0.09162302536000981
2007-11-05 T 21:08:39.246 UTCRSS 185  [1] [SDAT] RSS : .simCompleted()():: Run: 22 fpstat=  23 0.39243091787439616 0.21893333333333334 0.5259111111111111 0.0895442722267894
