2007-11-05 T 20:50:08.437 UTCRSS 5  [1] [SDAT] RSS : .simCompleted()():: Run: 0 pstat=  1 1.0646 1.0646 1.0646 NaN
2007-11-05 T 20:50:54.341 UTCRSS 13  [1] [SDAT] RSS : .simCompleted()():: Run: 1 pstat=  2 1.1367244444444444 1.0646 1.2088488888888889 0.10199936751195737
2007-11-05 T 20:51:44.805 UTCRSS 21  [1] [SDAT] RSS : .simCompleted()():: Run: 2 pstat=  3 1.0921459259259259 1.002988888888889 1.2088488888888889 0.10565826246128329
2007-11-05 T 20:52:42.401 UTCRSS 29  [1] [SDAT] RSS : .simCompleted()():: Run: 3 pstat=  4 1.1529316666666667 1.002988888888889 1.335288888888889 0.14907069036923593
2007-11-05 T 20:53:44.673 UTCRSS 37  [1] [SDAT] RSS : .simCompleted()():: Run: 4 pstat=  5 1.138103111111111 1.002988888888889 1.335288888888889 0.1332890968710158
2007-11-05 T 20:54:27.474 UTCRSS 45  [1] [SDAT] RSS : .simCompleted()():: Run: 5 pstat=  6 1.1457600000000001 1.002988888888889 1.335288888888889 0.12068369550396413
2007-11-05 T 20:55:14.581 UTCRSS 53  [1] [SDAT] RSS : .simCompleted()():: Run: 6 pstat=  7 1.1309276190476192 1.002988888888889 1.335288888888889 0.11694924243773584
2007-11-05 T 20:56:04.705 UTCRSS 61  [1] [SDAT] RSS : .simCompleted()():: Run: 7 pstat=  8 1.146108888888889 1.002988888888889 1.335288888888889 0.11647754244868372
2007-11-05 T 20:56:51.279 UTCRSS 69  [1] [SDAT] RSS : .simCompleted()():: Run: 8 pstat=  9 1.1449590123456792 1.002988888888889 1.335288888888889 0.1090093601605203
2007-11-05 T 20:57:51.217 UTCRSS 77  [1] [SDAT] RSS : .simCompleted()():: Run: 9 pstat=  10 1.1485564444444445 1.002988888888889 1.335288888888889 0.10340269790931012
2007-11-05 T 20:58:42.314 UTCRSS 85  [1] [SDAT] RSS : .simCompleted()():: Run: 10 pstat=  11 1.1659361616161616 1.002988888888889 1.3397333333333334 0.11377832130985908
2007-11-05 T 20:59:40.120 UTCRSS 93  [1] [SDAT] RSS : .simCompleted()():: Run: 11 pstat=  12 1.1719433333333333 1.002988888888889 1.3397333333333334 0.1104611946629898
2007-11-05 T 21:00:34.867 UTCRSS 101  [1] [SDAT] RSS : .simCompleted()():: Run: 12 pstat=  13 1.1757220512820514 1.002988888888889 1.3397333333333334 0.10663251124248038
2007-11-05 T 21:01:34.386 UTCRSS 109  [1] [SDAT] RSS : .simCompleted()():: Run: 13 pstat=  14 1.1680792063492065 1.002988888888889 1.3397333333333334 0.10636551268874625
2007-11-05 T 21:02:25.247 UTCRSS 117  [1] [SDAT] RSS : .simCompleted()():: Run: 14 pstat=  15 1.185322814814815 1.002988888888889 1.4267333333333334 0.12233411995614121
2007-11-05 T 21:03:07.553 UTCRSS 125  [1] [SDAT] RSS : .simCompleted()():: Run: 15 pstat=  16 1.1945394444444446 1.002988888888889 1.4267333333333334 0.12380253618601836
2007-11-05 T 21:03:38.221 UTCRSS 133  [1] [SDAT] RSS : .simCompleted()():: Run: 16 pstat=  17 1.1982698039215687 1.002988888888889 1.4267333333333334 0.12085400741926505
2007-11-05 T 21:04:19.788 UTCRSS 141  [1] [SDAT] RSS : .simCompleted()():: Run: 17 pstat=  18 1.2001365432098767 1.002988888888889 1.4267333333333334 0.11751279797970145
2007-11-05 T 21:05:22.900 UTCRSS 149  [1] [SDAT] RSS : .simCompleted()():: Run: 18 pstat=  19 1.2046153216374271 1.002988888888889 1.4267333333333334 0.11585856193718888
2007-11-05 T 21:06:10.310 UTCRSS 157  [1] [SDAT] RSS : .simCompleted()():: Run: 19 pstat=  20 1.196625888888889 1.002988888888889 1.4267333333333334 0.11829345941772801
2007-11-05 T 21:07:02.612 UTCRSS 165  [1] [SDAT] RSS : .simCompleted()():: Run: 20 pstat=  21 1.1965431746031747 1.002988888888889 1.4267333333333334 0.11529882518342092
2007-11-05 T 21:07:42.876 UTCRSS 173  [1] [SDAT] RSS : .simCompleted()():: Run: 21 pstat=  22 1.203959898989899 1.002988888888889 1.4267333333333334 0.11777500455650274
2007-11-05 T 21:08:39.245 UTCRSS 181  [1] [SDAT] RSS : .simCompleted()():: Run: 22 pstat=  23 1.2047703381642514 1.002988888888889 1.4267333333333334 0.1151327953360359
2007-11-05 T 21:09:33.226 UTCRSS 189  [1] [SDAT] RSS : .simCompleted()():: Run: 23 pstat=  24 1.192803240740741 0.91756 1.4267333333333334 0.12695001354729352
2007-11-05 T 21:10:25.508 UTCRSS 197  [1] [SDAT] RSS : .simCompleted()():: Run: 24 pstat=  25 1.188556888888889 0.91756 1.4267333333333334 0.12607767761747232
2007-11-05 T 21:11:20.601 UTCRSS 205  [1] [SDAT] RSS : .simCompleted()():: Run: 25 pstat=  26 1.1915478632478633 0.91756 1.4267333333333334 0.12446827579626804
2007-11-05 T 21:12:06.961 UTCRSS 213  [1] [SDAT] RSS : .simCompleted()():: Run: 26 pstat=  27 1.192708641975309 0.91756 1.4267333333333334 0.12220013091469119
2007-11-05 T 21:13:10.436 UTCRSS 221  [1] [SDAT] RSS : .simCompleted()():: Run: 27 pstat=  28 1.1949218253968257 0.91756 1.4267333333333334 0.12048631344016661
2007-11-05 T 21:14:01.127 UTCRSS 229  [1] [SDAT] RSS : .simCompleted()():: Run: 28 pstat=  29 1.1987875095785443 0.91756 1.4267333333333334 0.12013263951289668
2007-11-05 T 21:14:51.104 UTCRSS 237  [1] [SDAT] RSS : .simCompleted()():: Run: 29 pstat=  30 1.2006528888888892 0.91756 1.4267333333333334 0.11848455696150524
2007-11-05 T 21:15:41.906 UTCRSS 245  [1] [SDAT] RSS : .simCompleted()():: Run: 30 pstat=  31 1.195449390681004 0.91756 1.4267333333333334 0.12004168206086699
2007-11-05 T 21:16:32.314 UTCRSS 253  [1] [SDAT] RSS : .simCompleted()():: Run: 31 pstat=  32 1.1997528472222225 0.91756 1.4267333333333334 0.12057279199540905
2007-11-05 T 21:17:15.435 UTCRSS 261  [1] [SDAT] RSS : .simCompleted()():: Run: 32 pstat=  33 1.2010887542087545 0.91756 1.4267333333333334 0.11892176143792602
2007-11-05 T 21:18:01.638 UTCRSS 269  [1] [SDAT] RSS : .simCompleted()():: Run: 33 pstat=  34 1.2012113071895427 0.91756 1.4267333333333334 0.11710823568734878
2007-11-05 T 21:18:47.158 UTCRSS 277  [1] [SDAT] RSS : .simCompleted()():: Run: 34 pstat=  35 1.2022424126984128 0.91756 1.4267333333333334 0.11553435509817304
2007-11-05 T 21:19:38.457 UTCRSS 285  [1] [SDAT] RSS : .simCompleted()():: Run: 35 pstat=  36 1.2030462962962964 0.91756 1.4267333333333334 0.11397400874226885
2007-11-05 T 21:20:41.773 UTCRSS 293  [1] [SDAT] RSS : .simCompleted()():: Run: 36 pstat=  37 1.199874894894895 0.91756 1.4267333333333334 0.11402358253766026
2007-11-05 T 21:21:23.585 UTCRSS 301  [1] [SDAT] RSS : .simCompleted()():: Run: 37 pstat=  38 1.1971666081871348 0.91756 1.4267333333333334 0.11370449348597199
2007-11-05 T 21:22:19.724 UTCRSS 309  [1] [SDAT] RSS : .simCompleted()():: Run: 38 pstat=  39 1.1939552136752138 0.91756 1.4267333333333334 0.11397671566473458
2007-11-05 T 21:23:07.899 UTCRSS 317  [1] [SDAT] RSS : .simCompleted()():: Run: 39 pstat=  40 1.1936905000000002 0.91756 1.4267333333333334 0.11251844287754585
2007-11-05 T 21:24:02.551 UTCRSS 325  [1] [SDAT] RSS : .simCompleted()():: Run: 40 pstat=  41 1.190778265582656 0.91756 1.4267333333333334 0.11265707021426616
2007-11-05 T 21:24:50.973 UTCRSS 333  [1] [SDAT] RSS : .simCompleted()():: Run: 41 pstat=  42 1.1882348677248677 0.91756 1.4267333333333334 0.11248891733987351
2007-11-05 T 21:25:41.329 UTCRSS 341  [1] [SDAT] RSS : .simCompleted()():: Run: 42 pstat=  43 1.191534677002584 0.91756 1.4267333333333334 0.11322849677369955
