H0.50    0  10.18   0.65
H0.50    1   9.50   0.72
H0.50    2   9.79   0.70
H0.50    4   9.67   0.79
H0.50    8   9.88   0.75
H0.50   15   9.92   0.77
H0.50   30   9.19   0.85
H0.50   60   8.84   0.81
H0.50   90   8.56   0.94
H0.50  120   7.71   0.91
H0.50  150   7.61   0.79
H0.50  180   6.53   0.90
H0.50  210   6.69   0.75
H0.50  240   6.07   0.89
H0.50  300   4.60   0.87
H0.50  360   3.66   0.78
H1.00    0   8.48   0.83
H1.00    1   7.73   0.89
H1.00    2   7.99   0.92
H1.00    4   8.54   0.81
H1.00    8   8.99   0.78
H1.00   15   9.16   0.83
H1.00   30   9.57   0.83
H1.00   60   8.56   0.91
H1.00   90   8.42   0.75
H1.00  120   7.99   0.83
H1.00  150   7.67   0.89
H1.00  180   7.21   0.76
H1.00  210   5.86   0.94
H1.00  240   5.74   0.89
H1.00  300   4.73   0.80
H1.00  360   3.82   0.83
H2.00    0   5.26   0.85
H2.00    1   5.81   0.83
H2.00    2   5.10   0.91
H2.00    4   5.41   1.04
H2.00    8   5.81   0.88
H2.00   15   6.32   0.91
H2.00   30   6.94   0.99
H2.00   60   8.42   0.84
H2.00   90   7.87   0.90
H2.00  120   8.16   0.96
H2.00  150   7.82   0.85
H2.00  180   6.48   0.87
H2.00  210   6.27   0.91
H2.00  240   6.22   0.97
H2.00  300   4.87   0.86
H2.00  360   4.38   0.88
H4.00    0   3.93   0.94
H4.00    1   3.52   0.76
H4.00    2   3.04   0.86
H4.00    4   3.18   0.85
H4.00    8   3.33   0.81
H4.00   15   3.57   0.75
H4.00   30   3.87   0.79
H4.00   60   4.67   0.81
H4.00   90   5.66   0.98
H4.00  120   5.67   0.92
H4.00  150   6.21   0.94
H4.00  180   6.32   0.84
H4.00  210   5.99   0.80
H4.00  240   5.53   0.86
H4.00  300   5.11   0.86
H4.00  360   3.88   0.78
