H0.50    0  10.01   0.72
H0.50    1  10.05   0.73
H0.50    2   9.82   0.71
H0.50    4   9.79   0.73
H0.50    8   9.37   0.77
H0.50   15   9.64   0.76
H0.50   30   9.07   0.79
H0.50   60   8.88   0.94
H0.50   90   8.27   0.85
H0.50  120   8.10   0.80
H0.50  150   7.61   0.89
H0.50  180   7.19   0.93
H0.50  210   6.19   0.94
H0.50  240   5.90   0.87
H0.50  300   4.94   0.85
H0.50  360   4.15   0.77
H1.00    0   7.36   0.89
H1.00    1   7.31   0.90
H1.00    2   7.92   0.89
H1.00    4   7.30   0.89
H1.00    8   7.85   0.88
H1.00   15   9.01   0.80
H1.00   30   9.84   0.84
H1.00   60   9.01   0.86
H1.00   90   8.18   0.86
H1.00  120   8.25   0.76
H1.00  150   7.06   0.84
H1.00  180   6.86   0.85
H1.00  210   6.06   0.99
H1.00  240   5.99   0.95
H1.00  300   4.94   0.91
H1.00  360   3.62   0.79
H2.00    0   3.76   0.75
H2.00    1   3.39   0.86
H2.00    2   3.87   0.78
H2.00    4   3.59   0.81
H2.00    8   4.13   0.75
H2.00   15   4.26   0.82
H2.00   30   5.44   0.86
H2.00   60   7.81   0.91
H2.00   90   8.10   0.89
H2.00  120   7.89   0.82
H2.00  150   7.65   0.84
H2.00  180   6.89   0.80
H2.00  210   6.75   0.85
H2.00  240   5.67   0.81
H2.00  300   4.85   0.82
H2.00  360   4.36   0.86
H4.00    0   1.67   0.63
H4.00    1   2.02   0.61
H4.00    2   1.25   0.58
H4.00    4   1.03   0.61
H4.00    8   2.27   0.67
H4.00   15   1.59   0.69
H4.00   30   1.97   0.73
H4.00   60   3.33   0.75
H4.00   90   4.13   0.87
H4.00  120   5.52   0.94
H4.00  150   5.77   0.80
H4.00  180   6.21   0.85
H4.00  210   6.97   0.85
H4.00  240   5.74   0.96
H4.00  300   4.63   0.88
H4.00  360   3.50   0.90
